"","team","season","league_standing","wage_bill","transferspend","total_spend","wage_bill_position","transfer_spend_position","total_spend_position"
"1","Manchester United","2014/15",4,203,163.68,366.68,2,1,1
"2","Manchester City","2010/11",3,174,160.56,334.56,2,1,1
"3","Chelsea FC","2013/14",3,192,125.36,317.36,3,1,1
"4","Manchester City","2012/13",2,233,76.88,309.88,1,1,1
"5","Chelsea FC","2014/15",1,217,91.7,308.7,1,3,2
"6","Liverpool FC","2014/15",6,166,131.49,297.49,5,2,3
"7","Manchester City","2011/12",1,202,84.08,286.08,1,1,1
"8","Manchester United","2013/14",7,215,67.87,282.87,1,3,2
"9","Arsenal FC","2014/15",3,192,89.52,281.52,4,4,4
"10","Manchester City","2013/14",1,205,66.88,271.88,2,4,3
"11","Chelsea FC","2011/12",6,173,79.51,252.51,2,2,2
"12","Manchester City","2014/15",2,194,55.44,249.44,3,5,5
"13","Manchester City","2009/10",5,133,110.97,243.97,2,1,1
"14","Chelsea FC","2010/11",2,190,51.48,241.48,1,3,2
"15","Manchester United","2012/13",1,181,58.04,239.04,2,2,2
"16","Chelsea FC","2012/13",3,179,53.06,232.06,3,5,3
"17","Manchester United","2011/12",2,162,50.42,212.42,3,4,3
"18","Arsenal FC","2013/14",4,166,44,210,4,5,4
"19","Liverpool FC","2010/11",6,135,67.14,202.14,4,2,3
"20","Arsenal FC","2012/13",4,154,36.08,190.08,4,6,4
"21","Arsenal FC","2011/12",3,143,44.19,187.19,4,5,4
"22","Liverpool FC","2012/13",7,132,53.94,185.94,5,4,5
"23","Liverpool FC","2013/14",2,144,38.94,182.94,5,6,5
"24","Chelsea FC","2009/10",1,174,7.92,181.92,1,13,2
"25","Liverpool FC","2011/12",8,119,58.43,177.43,5,3,5
"26","Spurs","2013/14",6,100,74.36,174.36,6,2,6
"27","Manchester United","2010/11",1,153,19.18,172.18,3,5,4
"28","Liverpool FC","2009/10",7,121,35.64,156.64,4,4,3
"29","Manchester United","2009/10",2,132,24.11,156.11,3,6,4
"30","Spurs","2012/13",5,96,56.32,152.32,6,3,6
"31","Arsenal FC","2010/11",4,124,16.72,140.72,5,7,5
"32","Spurs","2014/15",5,101,36.82,137.82,6,8,6
"33","Southampton FC","2014/15",7,80,45.23,125.23,9,6,7
"34","Arsenal FC","2009/10",3,111,10.56,121.56,5,10,5
"35","Aston Villa","2009/10",6,80,38.72,118.72,6,3,6
"36","Aston Villa","2010/11",9,83,32.92,115.92,7,4,6
"37","QPR","2014/15",20,73,40.44,113.44,12,7,8
"38","Everton","2014/15",11,78,35.34,113.34,10,9,9
"39","Swansea City","2014/15",8,83,23.59,106.59,8,13,10
"40","Spurs","2010/11",5,91,11.97,102.97,6,9,7
"41","Spurs","2009/10",4,67,35.45,102.45,7,5,7
"42","West Ham Utd.","2014/15",12,73,29.26,102.26,13,11,11
"43","Newcastle Utd.","2011/12",5,64,37.931,101.931,8,6,6
"44","QPR","2012/13",20,78,21.56,99.56,7,11,7
"45","Spurs","2011/12",4,90,5.46,95.46,6,17,7
"46","Newcastle Utd.","2014/15",15,65,29.06,94.06,17,12,12
"47","Sunderland AFC","2013/14",14,70,23.37,93.37,8,10,7
"48","Sunderland AFC","2009/10",13,54,39.24,93.24,9,2,8
"49","Aston Villa","2012/13",15,72,19.904,91.904,8,13,8
"50","Aston Villa","2014/15",17,84,7.48,91.48,7,18,13
"51","Sunderland AFC","2014/15",16,77,12.85,89.85,11,15,14
"52","Hull City","2014/15",18,56,33.84,89.84,19,10,15
"53","Newcastle Utd.","2012/13",16,62,27.24,89.24,11,9,9
"54","Everton","2013/14",5,69,19.62,88.62,9,15,8
"55","Sunderland AFC","2012/13",17,58,29.57,87.57,13,8,10
"56","Sunderland AFC","2011/12",13,64,23.32,87.32,9,7,8
"57","Aston Villa","2011/12",16,70,16.76,86.76,7,10,9
"58","Southampton FC","2013/14",8,63,21.56,84.56,14,11,9
"59","West Ham Utd.","2013/14",13,64,20.5,84.5,13,13,10
"60","Swansea City","2013/14",12,63,20.41,83.41,15,14,11
"61","Cardiff","2013/14",20,53,29.796,82.796,18,7,12
"62","Crystal Palace","2014/15",10,68,13.84,81.84,15,14,16
"63","Stoke City","2012/13",13,60,20.834,80.834,12,12,11
"64","Norwich","2013/14",18,54,25.07,79.07,17,9,13
"65","Newcastle Utd.","2013/14",10,78,0,78,7,20,14
"66","Fulham FC","2013/14",19,69,8.89,77.89,11,17,15
"67","Everton","2012/13",6,63,14.87,77.87,10,14,12
"68","QPR","2011/12",17,58,19.78,77.78,12,8,10
"69","Southampton FC","2012/13",14,47,29.92,76.92,18,7,13
"70","West Brom","2013/14",17,65,11.35,76.35,12,16,16
"71","Aston Villa","2013/14",15,69,6.6,75.6,10,18,17
"72","Fulham FC","2012/13",12,67,6.6,73.6,9,19,14
"73","West Brom","2014/15",13,70,1.32,71.32,14,20,17
"74","Stoke City","2011/12",14,53,17.86,70.86,14,9,11
"75","Fulham FC","2011/12",9,62,8.008,70.008,11,14,12
"76","Leicester City","2014/15",14,57,12.22,69.22,18,16,18
"77","Wigan","2012/13",18,44,25.019,69.019,20,10,15
"78","Stoke City","2014/15",9,67,1.58,68.58,16,19,19
"79","Hull City","2013/14",16,43,25.33,68.33,20,8,18
"80","West Ham Utd.","2012/13",10,56,11.836,67.836,14,15,16
"81","Crystal Palace","2013/14",11,46,21.224,67.224,19,12,19
"82","Sunderland AFC","2010/11",10,61,6.16,67.16,8,12,8
"83","Stoke City","2013/14",9,61,5.63,66.63,16,19,20
"84","Bolton","2011/12",18,55,11.36,66.36,13,11,13
"85","Stoke City","2010/11",13,47,16.81,63.81,15,6,9
"86","Fulham FC","2010/11",8,58,5.808,63.808,10,13,10
"87","Everton","2011/12",7,63,0.528,63.528,10,20,14
"88","Newcastle Utd.","2010/11",12,54,9.42,63.42,13,11,11
"89","Norwich","2012/13",11,51,9.752,60.752,16,16,17
"90","Bolton","2010/11",14,56,4.53,60.53,11,15,12
"91","Stoke City","2009/10",11,45,15.27,60.27,14,7,9
"92","Everton","2009/10",8,54,5.98,59.98,8,14,10
"93","West Ham Utd.","2009/10",17,54,5.98,59.98,10,15,11
"94","Everton","2010/11",7,58,1.23,59.23,9,18,13
"95","Swansea City","2012/13",9,49,9.56,58.56,17,17,18
"96","West Brom","2012/13",8,54,4.4,58.4,15,20,19
"97","Blackburn","2011/12",19,50,7.56,57.56,16,16,15
"98","West Ham Utd.","2010/11",20,55,2.55,57.55,12,17,14
"99","Reading","2012/13",19,46,9.516,55.516,19,18,20
"100","West Brom","2011/12",10,50,4.49,54.49,15,19,16
"101","Bolton","2009/10",14,46,5.37,51.37,13,17,12
"102","Birmingham","2010/11",18,35,15.84,50.84,19,8,15
"103","Wigan","2009/10",16,39,11.442,50.442,15,9,13
"104","Blackburn","2010/11",15,50,0.396,50.396,14,19,16
"105","Fulham FC","2009/10",12,49,0.264,49.264,11,19,14
"106","Birmingham","2009/10",9,37,11.79,48.79,17,8,15
"107","Wolves","2011/12",20,38,10.34,48.34,18,13,17
"108","Wolves","2010/11",17,38,10.038,48.038,17,10,17
"109","Norwich","2011/12",12,37,10.65,47.65,19,12,18
"110","Blackburn","2009/10",10,47,0.44,47.44,12,18,16
"111","Hull City","2009/10",19,38,5.72,43.72,16,16,17
"112","Wigan","2010/11",16,40,3.254,43.254,16,16,18
"113","Swansea City","2011/12",11,35,7.79,42.79,20,15,19
"114","Wigan","2011/12",15,38,4.77,42.77,17,18,20
"115","West Brom","2010/11",11,37,5.302,42.302,18,14,19
"116","Wolves","2009/10",15,30,10.03,40.03,18,11,18
